Time,Open,High,Low,Close,Volume
05.11.2012 08:44:00,1.27896,1.27927,1.27895,1.27914,148.86
05.11.2012 08:45:00,1.27912,1.27924,1.27907,1.27915,170.68
05.11.2012 08:46:00,1.27914,1.2792,1.27909,1.27913,55.55
05.11.2012 08:47:00,1.27913,1.27939,1.27913,1.27936,125.9
05.11.2012 08:48:00,1.27938,1.27955,1.27936,1.27954,169.64
05.11.2012 08:49:00,1.27953,1.27967,1.2794,1.2796,289.32
05.11.2012 08:50:00,1.2796,1.27963,1.27945,1.2795,201.57
05.11.2012 08:51:00,1.2795,1.27995,1.27947,1.27984,350.56
05.11.2012 08:52:00,1.27983,1.27985,1.2797,1.27982,196.37
05.11.2012 08:53:00,1.2798,1.27997,1.2798,1.27995,113.98
05.11.2012 08:54:00,1.27995,1.28009,1.27983,1.27984,204.73
05.11.2012 08:55:00,1.27982,1.28002,1.27974,1.27975,237.24
05.11.2012 08:56:00,1.27973,1.27975,1.27946,1.27975,266.3
05.11.2012 08:57:00,1.27974,1.27975,1.27965,1.27975,58.69
05.11.2012 08:58:00,1.27975,1.27975,1.2794,1.27963,181.7
05.11.2012 08:59:00,1.2797,1.27975,1.27942,1.27942,160.11
05.11.2012 09:00:00,1.27941,1.27945,1.27933,1.27942,190.52
05.11.2012 09:01:00,1.27941,1.27965,1.27941,1.27956,153.1
05.11.2012 09:02:00,1.27956,1.27967,1.27956,1.27965,67.66
05.11.2012 09:03:00,1.27963,1.27966,1.27949,1.27954,90.76
05.11.2012 09:04:00,1.27954,1.27964,1.27952,1.27954,175.04
05.11.2012 09:05:00,1.27952,1.27955,1.27927,1.27939,188.64
05.11.2012 09:06:00,1.27939,1.27965,1.27939,1.27965,199.45
05.11.2012 09:07:00,1.27966,1.27966,1.27945,1.27957,231.41
05.11.2012 09:08:00,1.27961,1.27962,1.27944,1.27945,159.82
05.11.2012 09:09:00,1.27946,1.27965,1.27945,1.27961,76.41
05.11.2012 09:10:00,1.27962,1.27963,1.27936,1.27954,190.05
05.11.2012 09:11:00,1.27953,1.27969,1.27935,1.27969,274.31
05.11.2012 09:12:00,1.27961,1.27995,1.27961,1.27993,303.62
05.11.2012 09:13:00,1.27992,1.27992,1.27973,1.2798,191.53
05.11.2012 09:14:00,1.27981,1.28007,1.2798,1.28005,142.43
05.11.2012 09:15:00,1.28005,1.28035,1.27997,1.28034,202.37
05.11.2012 09:16:00,1.28032,1.28032,1.28015,1.28024,149.86
05.11.2012 09:17:00,1.28022,1.28036,1.28014,1.28023,281.15
05.11.2012 09:18:00,1.28021,1.28026,1.28008,1.28018,258.22
05.11.2012 09:19:00,1.28017,1.28019,1.27994,1.28001,216.61
